token	similarity
suddenly	0.5045372115426637
awakened	0.50393767814687
worry	0.4580340626642399
nervous	0.4491014885985976
angry	0.42288272560809437
feeling	0.42173023460688513
heartbreak	0.4039703527558727
afraid	0.39929951353383536
feelings	0.3803297277842519
just	0.3716646901234003
pain	0.37087380624642574
dying	0.370111477981399
cautious	0.36958975681478445
cynicism	0.3662486467682864
when	0.3639973848847503
But	0.3569154397366756
thought	0.35251856764203715
regret	0.3522043141295076
believe	0.3498566378565735
sorrow	0.34103606087407234
moment	0.33540126081448274
slowly	0.3313288728885124
chatter	0.32545539745262225
intense	0.3231772577912918
painful	0.3216122524532338
bleed	0.3202209596142769
that	0.3199346037146467
stopped	0.31959209877998423
tears	0.3195327337687874
heart	0.3146125444199302
what	0.3123327627287958
feel	0.3118675471942676
And	0.30991740000951645
drifted	0.3090978177944953
they	0.30881649272929873
remember	0.3062785971627155
before	0.30597804489242747
sometimes	0.30493627145203084
someone	0.30035912445310414
it	0.30034611967158426
